n	x_f_e	y_f_e	x_t1_e	y_t1_e	x_t2_e	y_t2_e	x_f_h	y_f_h	x_t1_h	y_t1_h	x_t2_h	y_t2_h
1	0	21	12	20	-12	20	0	17	12	17	-12	17
2	0	21	11.28	24.1	-11.28	24.1	0	17	11.28	21.1	-11.28	21.1
3	0	21	11.28	15.9	-11.28	15.9	0	17	11.28	12.9	-11.28	12.9
4	0	21	-12	20	12	20	0	17	-12	17	12	17
5	0	21	-11.28	24.1	11.28	24.1	0	17	-11.28	21.1	11.28	21.1
6	0	21	-11.28	15.9	11.28	15.9	0	17	-11.28	12.9	11.28	12.9
7	0	21	24	20	-24	20	0	17	24	17	-24	17
8	0	21	22.55	28.21	-22.55	28.21	0	17	22.55	25.21	-22.55	25.21
9	0	21	22.55	11.79	-22.55	11.79	0	17	22.55	8.79	-22.55	8.79
10	0	21	-24	20	24	20	0	17	-24	17	24	17
11	0	21	-22.55	28.21	22.55	28.21	0	17	-22.55	25.21	22.55	25.21
12	0	21	-22.55	11.79	22.55	11.79	0	17	-22.55	8.79	22.55	8.79
