n	x_f_e	y_f_e	x_t1_e	y_t1_e	x_t2_e	y_t2_e	x_f_h	y_f_h	x_t1_h	y_t1_h	x_t2_h	y_t2_h
1	5	20	5	20	5	20	5	17	17	17	-7	17
2	5	20	5	20	5	20	5	17	16.28	21.1	-6.28	21.1
3	5	20	5	20	5	20	5	17	16.28	12.9	-6.28	12.9
4	5	20	5	20	5	20	5	17	-7	17	17	17
5	5	20	5	20	5	20	5	17	-6.28	21.1	16.28	21.1
6	5	20	5	20	5	20	5	17	-6.28	12.9	16.28	12.9
7	5	20	5	20	5	20	5	17	29	17	-19	17
8	5	20	5	20	5	20	5	17	27.55	25.21	-17.55	25.21
9	5	20	5	20	5	20	5	17	27.55	8.79	-17.55	8.79
10	5	20	5	20	5	20	5	17	-19	17	29	17
11	5	20	5	20	5	20	5	17	-17.55	25.21	27.55	25.21
12	5	20	5	20	5	20	5	17	-17.55	8.79	27.55	8.79
