n	x_f_e	y_f_e	x_t1_e	y_t1_e	x_t2_e	y_t2_e	x_f_h	y_f_h	x_t1_h	y_t1_h	x_t2_h	y_t2_h
1	7	20	19	20	-5	20	7	17	19	17	-5	17
2	7	20	18.2763114494309	24.1042417199080	-4.27631144943090	24.1042417199080	7	17	18.2763114494309	21.1042417199080	-4.27631144943090	21.1042417199080
3	7	20	18.2763114494309	15.8957582800920	-4.27631144943090	15.8957582800920	7	17	18.2763114494309	12.8957582800920	-4.27631144943090	12.8957582800920
4	7	20	-5	20	19	20	7	17	-5	17	19	17
5	7	20	-4.27631144943090	24.1042417199080	18.2763114494309	24.1042417199080	7	17	-4.27631144943090	21.1042417199080	18.2763114494309	21.1042417199080
6	7	20	-4.27631144943090	15.8957582800920	18.2763114494309	15.8957582800920	7	17	-4.27631144943090	12.8957582800920	18.2763114494309	12.8957582800920
7	7	20	31	20	-17	20	7	17	31	17	-17	17
8	7	20	29.5526228988618	28.2084834398161	-15.5526228988618	28.2084834398161	7	17	29.5526228988618	25.2084834398161	-15.5526228988618	25.2084834398161
9	7	20	29.5526228988618	11.7915165601840	-15.5526228988618	11.7915165601840	7	17	29.5526228988618	8.79151656018395	-15.5526228988618	8.79151656018395
10	7	20	-17	20	31	20	7	17	-17	17	31	17
11	7	20	-15.5526228988618	28.2084834398161	29.5526228988618	28.2084834398161	7	17	-15.5526228988618	25.2084834398161	29.5526228988618	25.2084834398161
12	7	20	-15.5526228988618	11.7915165601840	29.5526228988618	11.7915165601840	7	17	-15.5526228988618	8.79151656018395	29.5526228988618	8.79151656018395

