n	x_f_e	y_f_e	x_t1_e	y_t1_e	x_t2_e	y_t2_e	x_f_h	y_f_h	x_t1_h	y_t1_h	x_t2_h	y_t2_h
1	0	10	10	10	-10	10	0	7	10	7	-10	7
2	0	10	9.85	11.74	-9.85	11.74	0	7	9.85	8.74	-9.85	8.74
3	0	10	9.85	8.26	-9.85	8.26	0	7	9.85	5.26	-9.85	5.26
4	0	10	-10	10	10	10	0	7	-10	7	10	7
5	0	10	-9.85	11.74	9.85	11.74	0	7	-9.85	8.74	9.85	8.74
6	0	10	-9.85	8.26	9.85	8.26	0	7	-9.85	5.26	9.85	5.26
7	0	10	20	10	-20	10	0	7	20	7	-20	7
8	0	10	19.7	13.47	-19.7	13.47	0	7	19.7	10.47	-19.7	10.47
9	0	10	19.7	6.53	-19.7	6.53	0	7	19.7	3.53	-19.7	3.53
10	0	10	-20	10	20	10	0	7	-20	7	20	7
11	0	10	-19.7	13.47	19.7	13.47	0	7	-19.7	10.47	19.7	10.47
12	0	10	-19.7	6.53	19.7	6.53	0	7	-19.7	3.53	19.7	3.53





