n	x_f_e	y_f_e	x_t1_e	y_t1_e	x_t2_e	y_t2_e	x_f_h	y_f_h	x_t1_h	y_t1_h	x_t2_h	y_t2_h
1	5	20	17	20	-7	20	5	17	17	17	-7	17
2	5	20	16.2763114494309	24.1042417199080	-6.27631144943090	24.1042417199080	5	17	16.2763114494309	21.1042417199080	-6.27631144943090	21.1042417199080
3	5	20	16.2763114494309	15.8957582800920	-6.27631144943090	15.8957582800920	5	17	16.2763114494309	12.8957582800920	-6.27631144943090	12.8957582800920
4	5	20	-7	20	17	20	5	17	-7	17	17	17
5	5	20	-6.27631144943090	24.1042417199080	16.2763114494309	24.1042417199080	5	17	-6.27631144943090	21.1042417199080	16.2763114494309	21.1042417199080
6	5	20	-6.27631144943090	15.8957582800920	16.2763114494309	15.8957582800920	5	17	-6.27631144943090	12.8957582800920	16.2763114494309	12.8957582800920
7	5	20	29	20	-19	20	5	17	29	17	-19	17
8	5	20	27.5526228988618	28.2084834398161	-17.5526228988618	28.2084834398161	5	17	27.5526228988618	25.2084834398161	-17.5526228988618	25.2084834398161
9	5	20	27.5526228988618	11.7915165601840	-17.5526228988618	11.7915165601840	5	17	27.5526228988618	8.79151656018395	-17.5526228988618	8.79151656018395
10	5	20	-19	20	29	20	5	17	-19	17	29	17
11	5	20	-17.5526228988618	28.2084834398161	27.5526228988618	28.2084834398161	5	17	-17.5526228988618	25.2084834398161	27.5526228988618	25.2084834398161
12	5	20	-17.5526228988618	11.7915165601840	27.5526228988618	11.7915165601840	5	17	-17.5526228988618	8.79151656018395	27.5526228988618	8.79151656018395

