n	x_f_e	y_f_e	x_t1_e	y_t1_e	x_t2_e	y_t2_e	x_f_h	y_f_h	x_t1_h	y_t1_h	x_t2_h	y_t2_h
1	0	20	10	20	20	20	0	17	-20	17	20	17
2	0	20	-10	20	20	20	0	17	-20	17	20	17
3	0	20	10.5	20	20	20	0	17	-20	17	20	17
4	0	20	-10.5	20	20	20	0	17	-20	17	20	17
5	0	20	11	20	20	20	0	17	-20	17	20	17
6	0	20	-11	20	20	20	0	17	-20	17	20	17
7	0	20	11.5	20	20	20	0	17	-20	17	20	17
8	0	20	-11.5	20	20	20	0	17	-10	17	20	17
9	0	20	12	20	20	20	0	17	-20	17	20	17
10	0	20	-12	20	20	20	0	17	-20	17	20	17
11	0	20	12.5	20	20	20	0	17	-20	17	20	17
12	0	20	-12.5	20	20	20	0	17	-20	17	20	17
13	0	20	13	20	20	20	0	17	-20	17	20	17
14	0	20	-13.5	20	20	20	0	17	-20	17	20	17
15	0	20	14	20	20	20	0	17	-20	17	20	17
16	0	20	-14	20	20	20	0	17	-20	17	20	17
17	0	20	14.5	20	20	20	0	17	-20	17	20	17
18	0	20	-14.5	20	20	20	0	17	-20	17	20	17
19	0	20	15	20	20	20	0	17	-20	17	20	17
20	0	20	-15	20	20	20	0	17	-20	17	20	17
21	0	20	15.5	20	20	20	0	17	-20	17	20	17
22	0	20	-15.5	20	20	20	0	17	-20	17	20	17
23	0	20	16	20	20	20	0	17	-20	17	20	17
24	0	20	-16	20	20	20	0	17	-20	17	20	17
25	0	20	16.5	20	20	20	0	17	-20	17	20	17
26	0	20	-16.5	20	20	20	0	17	-20	17	20	17
27	0	20	17	20	20	20	0	17	-20	17	20	17
28	0	20	-17	20	20	20	0	17	-20	17	20	17
29	0	20	17.5	20	20	20	0	17	-20	17	20	17
30	0	20	-17.5	20	20	20	0	17	-20	17	20	17
31	0	20	18	20	20	20	0	17	-20	17	20	17
32	0	20	-18	20	20	20	0	17	-20	17	20	17
33	0	20	18.5	20	20	20	0	17	-20	17	20	17
34	0	20	-18.5	20	20	20	0	17	-20	17	20	17
35	0	20	19	20	20	20	0	17	-20	17	20	17
36	0	20	-19	20	20	20	0	17	-20	17	20	17
37	0	20	19.5	20	20	20	0	17	-20	17	20	17
38	0	20	-19.5	20	20	20	0	17	-20	17	20	17
39	0	20	20	20	20	20	0	17	-20	17	20	17
40	0	20	-20	20	20	20	0	17	-20	17	20	17
