n	x_f_e	y_f_e	x_t1_e	y_t1_e	x_t2_e	y_t2_e	x_f_h	y_f_h	x_t1_h	y_t1_h	x_t2_h	y_t2_h
1	0	20	10	20	-10	20	0	17	10	17	-10	17
2	0	20	9.4	23.42	-9.4	23.42	0	17	9.4	20.42	-9.4	20.42
3	0	20	9.4	16.58	-9.4	16.58	0	17	9.4	13.58	-9.4	13.58
4	0	20	-10	20	10	20	0	17	-10	17	10	17
5	0	20	-9.4	23.42	9.4	23.42	0	17	-9.4	20.42	9.4	20.42
6	0	20	-9.4	16.58	9.4	16.58	0	17	-9.4	13.58	9.4	13.58
7	0	20	20	20	-20	20	0	17	20	17	-20	17
8	0	20	18.79	26.84	-18.79	26.84	0	17	18.79	23.84	-18.79	23.84
9	0	20	18.79	13.16	-18.79	13.16	0	17	18.79	10.16	-18.79	10.16
10	0	20	-20	20	20	20	0	17	-20	17	20	17
11	0	20	-18.79	26.84	18.79	26.84	0	17	-18.79	23.84	18.79	23.84
12	0	20	-18.79	13.16	18.79	13.16	0	17	-18.79	10.16	18.79	10.16

