n	x_f_e	y_f_e	x_t1_e	y_t1_e	x_t2_e	y_t2_e	x_f_h	y_f_h	x_t1_h	y_t1_h	x_t2_h	y_t2_h
1	0	20	12	20	-12	20	0	16	0	16	0	16
2	0	20	11.28	24.1	-11.28	24.1	0	16	0	16	0	16
3	0	20	11.28	15.9	-11.28	15.9	0	16	0	16	0	16
4	0	20	-12	20	12	20	0	16	0	16	0	16
5	0	20	-11.28	24.1	11.28	24.1	0	16	0	16	0	16
6	0	20	-11.28	15.9	11.28	15.9	0	16	0	16	0	16
7	0	20	24	20	-24	20	0	16	0	16	0	16
8	0	20	22.55	28.21	-22.55	28.21	0	16	0	16	0	16
9	0	20	22.55	11.79	-22.55	11.79	0	16	0	16	0	16
10	0	20	-24	20	24	20	0	16	0	16	0	16
11	0	20	-22.55	28.21	22.55	28.21	0	16	0	16	0	16
12	0	20	-22.55	11.79	22.55	11.79	0	16	0	16	0	16
