n	x_f_e	y_f_e	x_t1_e	y_t1_e	x_t2_e	y_t2_e	x_f_h	y_f_h	x_t1_h	y_t1_h	x_t2_h	y_t2_h
1	10	20	10	20	10	20	10	17	22	17	-2	17
2	10	20	10	20	10	20	10	17	21.28	21.1	-1.28	21.1
3	10	20	10	20	10	20	10	17	21.28	12.9	-1.28	12.9
4	10	20	10	20	10	20	10	17	-2	17	22	17
5	10	20	10	20	10	20	10	17	-1.28	21.1	21.28	21.1
6	10	20	10	20	10	20	10	17	-1.28	12.9	21.28	12.9
7	10	20	10	20	10	20	10	17	34	17	-14	17
8	10	20	10	20	10	20	10	17	32.55	25.21	-12.55	25.21
9	10	20	10	20	10	20	10	17	32.55	8.79	-12.55	8.79
10	10	20	10	20	10	20	10	17	-14	17	34	17
11	10	20	10	20	10	20	10	17	-12.55	25.21	32.55	25.21
12	10	20	10	20	10	20	10	17	-12.55	8.79	32.55	8.79
