n	x_f_e	y_f_e	x_t1_e	y_t1_e	x_t2_e	y_t2_e	x_f_h	y_f_h	x_t1_h	y_t1_h	x_t2_h	y_t2_h
1	3	20	15	20	-9	20	3	17	15	17	-9	17
2	3	20	14.2763114494309	24.1042417199080	-8.27631144943090	24.1042417199080	3	17	14.2763114494309	21.1042417199080	-8.27631144943090	21.1042417199080
3	3	20	14.2763114494309	15.8957582800920	-8.27631144943090	15.8957582800920	3	17	14.2763114494309	12.8957582800920	-8.27631144943090	12.8957582800920
4	3	20	-9	20	15	20	3	17	-9	17	15	17
5	3	20	-8.27631144943090	24.1042417199080	14.2763114494309	24.1042417199080	3	17	-8.27631144943090	21.1042417199080	14.2763114494309	21.1042417199080
6	3	20	-8.27631144943090	15.8957582800920	14.2763114494309	15.8957582800920	3	17	-8.27631144943090	12.8957582800920	14.2763114494309	12.8957582800920
7	3	20	27	20	-21	20	3	17	27	17	-21	17
8	3	20	25.5526228988618	28.2084834398161	-19.5526228988618	28.2084834398161	3	17	25.5526228988618	25.2084834398161	-19.5526228988618	25.2084834398161
9	3	20	25.5526228988618	11.7915165601840	-19.5526228988618	11.7915165601840	3	17	25.5526228988618	8.79151656018395	-19.5526228988618	8.79151656018395
10	3	20	-21	20	27	20	3	17	-21	17	27	17
11	3	20	-19.5526228988618	28.2084834398161	25.5526228988618	28.2084834398161	3	17	-19.5526228988618	25.2084834398161	25.5526228988618	25.2084834398161
12	3	20	-19.5526228988618	11.7915165601840	25.5526228988618	11.7915165601840	3	17	-19.5526228988618	8.79151656018395	25.5526228988618	8.79151656018395

