n	x_f_e	y_f_e	x_t1_e	y_t1_e	x_t2_e	y_t2_e	x_f_h	y_f_h	x_t1_h	y_t1_h	x_t2_h	y_t2_h
1	0	18	15	18	-15	18	0	15	15	15	-15	15
2	0	18	14.0954	23.1303	-14.0954	23.1303	0	15	14.0954	20.1303	-14.0954	20.1303
3	0	18	14.0954	12.8697	-14.0954	12.8697	0	15	14.0954	9.8697	-14.0954	9.8697
4	0	18	-15	18	15	18	0	15	-15	15	15	15
5	0	18	-14.0954	23.1303	14.0954	23.1303	0	15	-14.0954	20.1303	14.0954	20.1303
6	0	18	-14.0954	12.8697	14.0954	12.8697	0	15	-14.0954	9.8697	14.0954	9.8697
7	0	18	30	18	-30	18	0	15	30	15	-30	15
8	0	18	28.1908	28.2606	-28.1908	28.2606	0	15	28.1908	25.2606	-28.1908	25.2606
9	0	18	28.1908	7.7394	-28.1908	7.7394	0	15	28.1908	4.7394	-28.1908	4.7394
10	0	18	-30	18	30	18	0	15	-30	15	30	15
11	0	18	-28.1908	28.2606	28.1908	28.2606	0	15	-28.1908	25.2606	28.1908	25.2606
12	0	18	-28.1908	7.7394	28.1908	7.7394	0	15	-28.1908	4.7394	28.1908	4.7394

