n	x_f_e	y_f_e	x_t1_e	y_t1_e	x_t2_e	y_t2_e	x_f_h	y_f_h	x_t1_h	y_t1_h	x_t2_h	y_t2_h
1	0	20	8	20	-8	20	0	13	8	13	-8	13
2	0	20	-8	20	8	20	0	10	-8	13	8	13
3	0	20	11	20	-11	20	0	8	11	13	-11	13
4	0	20	-11	20	11	20	5	13	-11	13	11	13
5	0	20	17	20	-17	20	8	13	17	13	-17	13
6	0	20	-17	20	17	20	10	13	-17	13	17	13
7	0	20	22	20	-22	20	15	13	22	13	-22	13
8	0	20	-22	20	22	20	-5	13	-22	13	22	13
9	0	20	8	20	-8	20	-8	13	8	13	-8	13
10	0	20	-8	20	8	20	-10	13	-8	13	8	13
11	0	20	11	20	-11	20	-15	13	11	13	-11	13
12	0	20	-11	20	11	20	5	10	-11	13	11	13
13	0	20	17	20	-17	20	8	10	17	13	-17	13
14	0	20	-17	20	17	20	10	10	-17	13	17	13
15	0	20	22	20	-22	20	-5	10	22	13	-22	13
16	0	20	-22	20	22	20	-8	10	-22	13	22	13
17	0	20	-22	20	22	20	-10	10	-22	13	22	13
